filename,width,height,class,xmin,ymin,xmax,ymax
armas (2034),425,323,pistol,25,121,88,153
armas (2034),425,323,pistol,47,91,98,120
armas (2034),425,323,pistol,72,77,116,114
armas (2035),420,300,pistol,52,99,197,282
armas (2035),420,300,pistol,320,61,341,153
armas (2036),1300,1066,pistol,581,258,1297,978
armas (2037),1300,1066,pistol,570,110,1157,979
armas (2038),450,355,pistol,3,1,449,354
armas (2039),150,91,pistol,5,9,144,81
armas (2040),1300,956,pistol,1,1,1264,866
armas (2041),615,410,pistol,268,93,439,230
armas (2042),1300,954,pistol,440,258,876,549
armas (2043),1100,815,pistol,13,13,1081,659
armas (2044),346,540,pistol,153,113,270,246
armas (2045),500,333,pistol,152,40,398,254
armas (2046),1650,1100,pistol,240,310,1590,1100
armas (2047),600,271,pistol,25,9,565,194
armas (2048),835,900,pistol,546,366,655,458
armas (2048),835,900,pistol,479,755,641,800
armas (2048),835,900,pistol,549,774,735,834
armas (2048),835,900,pistol,625,800,814,858
armas (2049),482,407,pistol,27,18,462,388
armas (2050),640,434,pistol,36,28,560,388
armas (2051),750,573,pistol,15,3,739,562
armas (2052),443,341,pistol,4,11,439,334
armas (2053),624,352,pistol,74,129,211,218
armas (2054),632,250,pistol,370,44,550,211
armas (2055),725,432,pistol,7,8,719,425
armas (2056),640,448,pistol,259,175,512,354
armas (2057),555,640,pistol,385,354,451,449
armas (2058),300,377,pistol,70,146,196,369
armas (2059),418,246,pistol,78,16,386,201
armas (2060),320,155,pistol,20,67,257,111
armas (2061),640,456,pistol,161,124,530,362
armas (2062),1000,719,pistol,44,79,757,627
armas (2063),640,360,pistol,140,143,202,197
armas (2063),640,360,pistol,322,150,362,189
armas (2064),615,345,pistol,417,145,543,255
armas (2065),677,800,pistol,62,191,225,292
armas (2066),863,1392,pistol,347,70,434,227
armas (2067),863,1392,pistol,481,287,694,549
armas (2068),1024,650,pistol,359,129,635,281
armas (2069),640,480,pistol,137,44,605,243
armas (2070),704,800,pistol,311,298,437,559
armas (2071),450,320,pistol,275,74,414,187
armas (2072),640,480,pistol,191,180,249,270
armas (2073),800,977,pistol,249,231,396,618
armas (2074),690,388,pistol,90,68,583,304
armas (2075),450,420,pistol,41,124,292,367
armas (2076),500,337,pistol,41,22,445,296
armas (2077),500,400,pistol,20,42,415,212
armas (2078),400,720,pistol,137,78,157,112
armas (2079),3000,2290,pistol,1030,270,2612,1148
armas (2080),1123,761,pistol,542,328,830,531
armas (2080),1123,761,pistol,324,297,456,629
armas (2081),640,444,pistol,172,118,280,266
armas (2082),640,444,pistol,206,72,277,183
armas (2083),640,444,pistol,34,68,150,164
armas (2084),600,420,pistol,321,13,413,129
armas (2085),600,420,pistol,111,173,186,297
armas (2086),600,420,pistol,59,136,139,253
armas (2087),600,420,pistol,88,120,184,190
armas (2088),841,1390,pistol,332,609,800,858
armas (2089),1000,639,pistol,413,73,623,282
armas (2090),900,598,pistol,31,106,221,262
armas (2091),640,480,pistol,83,101,589,469
armas (2092),640,444,pistol,365,77,566,280
armas (2093),344,540,pistol,19,169,127,368
armas (2094),640,444,pistol,73,124,329,325
armas (2095),2000,1333,pistol,1241,315,1917,1054
armas (2096),2000,1333,pistol,998,254,1901,870
armas (2097),2000,1333,pistol,98,223,1017,999
armas (2098),2000,1333,pistol,1045,288,1990,1131
armas (2099),2000,1333,pistol,313,127,1801,1332
armas (2100),636,361,pistol,53,21,372,320
armas (2101),700,460,pistol,8,8,686,443
armas (2102),866,1390,pistol,178,431,436,775
armas (2103),346,540,pistol,102,242,203,394
armas (2104),1300,956,pistol,881,266,1249,666
armas (2105),1300,956,pistol,262,305,500,502
armas (2106),400,300,pistol,2,4,394,294
armas (2107),400,300,pistol,3,2,397,297
armas (2108),1680,1121,pistol,96,52,1496,1043
armas (2109),160,120,pistol,28,29,130,91
armas (2110),320,240,pistol,13,22,313,218
armas (2111),320,205,pistol,5,9,316,189
armas (2112),160,120,pistol,12,22,149,95
armas (2113),160,120,pistol,4,4,158,114
armas (2114),5879,4279,pistol,962,1439,2256,2019
armas (2115),660,327,pistol,79,51,502,324
armas (2116),852,480,pistol,96,77,594,378
armas (2117),852,480,pistol,517,62,831,231
armas (2118),357,220,pistol,48,52,100,83
armas (2119),650,400,pistol,1,3,608,267
armas (2120),252,169,pistol,15,20,227,159
armas (2121),400,300,pistol,199,113,223,129
armas (2122),377,319,pistol,8,106,78,193
armas (2123),500,347,pistol,191,82,477,304
armas (2124),900,598,pistol,82,171,216,276
armas (2125),634,482,pistol,49,389,187,465
armas (2126),634,633,pistol,292,285,553,492
armas (2127),634,634,pistol,159,412,264,508
armas (2128),634,634,pistol,118,239,183,356
armas (2128),634,634,pistol,288,274,329,395
armas (2128),634,634,pistol,258,276,293,384
armas (2129),634,620,pistol,301,132,375,209
armas (2130),736,552,pistol,27,67,719,486
armas (2131),300,157,pistol,163,120,195,154
armas (2132),600,376,pistol,292,118,438,203
armas (2133),1500,1021,pistol,375,380,525,473
armas (2134),800,482,pistol,60,74,720,389
armas (2135),600,450,pistol,29,80,589,423
armas (2136),468,377,pistol,212,209,298,274
armas (2137),450,260,pistol,2,44,444,247
armas (2138),650,400,pistol,329,24,645,161
armas (2139),211,300,pistol,8,57,202,279
armas (2140),300,370,pistol,62,49,195,119
armas (2140),300,370,pistol,48,197,187,275
armas (2140),300,370,pistol,100,224,227,319
armas (2140),300,370,pistol,142,271,244,358
armas (2140),300,370,pistol,147,127,281,198
armas (2141),677,409,pistol,10,15,665,270
armas (2142),650,400,pistol,1,147,649,284
armas (2143),661,496,pistol,484,137,632,244
armas (2144),1024,718,pistol,400,243,788,403
armas (2145),650,400,pistol,470,92,649,187
armas (2146),480,229,pistol,8,21,454,209
armas (2147),656,490,pistol,178,204,332,273
armas (2147),656,490,pistol,123,302,275,370
armas (2147),656,490,pistol,354,236,467,293
armas (2147),656,490,pistol,446,166,575,216
armas (2147),656,490,pistol,475,75,616,127
armas (2147),656,490,pistol,552,119,647,147
armas (2148),1024,781,pistol,461,78,567,150
armas (2149),731,1024,pistol,64,108,192,215
armas (2150),1024,944,pistol,99,64,918,882
armas (2151),480,360,pistol,139,105,195,134
armas (2152),650,550,pistol,4,237,469,549
armas (2152),650,550,pistol,117,1,645,221
armas (2153),600,450,pistol,32,101,100,154
armas (2154),1851,2190,pistol,87,21,1823,1251
armas (2155),284,160,pistol,80,24,110,96
armas (2156),354,200,pistol,57,31,307,200
armas (2157),852,480,pistol,164,119,533,325
armas (2158),634,816,pistol,163,300,270,493
armas (2158),634,816,pistol,371,314,506,562
armas (2159),634,422,pistol,155,125,613,378
armas (2160),306,420,pistol,223,190,247,228
armas (2161),3456,2304,pistol,2388,1012,2838,1452
armas (2162),620,412,pistol,54,36,586,360
armas (2163),2000,1331,pistol,1272,843,1494,1259
armas (2164),252,182,pistol,26,17,232,154
armas (2165),986,553,pistol,209,317,614,527
armas (2166),160,120,pistol,3,1,157,108
armas (2167),160,120,pistol,3,9,154,107
armas (2168),160,120,pistol,3,2,154,116
armas (2169),160,120,pistol,2,4,157,115
armas (2170),160,120,pistol,2,1,158,112
armas (2171),160,120,pistol,2,1,157,119
armas (2172),160,120,pistol,2,1,157,113
armas (2173),160,120,pistol,3,4,155,118
armas (2174),160,120,pistol,5,2,154,116
armas (2175),160,120,pistol,3,2,156,117
armas (2176),160,120,pistol,3,5,156,113
armas (2177),160,120,pistol,3,1,157,115
armas (2178),160,120,pistol,2,1,156,115
armas (2179),160,120,pistol,1,2,154,116
armas (2180),160,120,pistol,1,1,154,91
armas (2181),160,120,pistol,3,2,157,108
armas (2182),160,120,pistol,4,1,155,107
armas (2183),160,120,pistol,5,14,152,107
armas (2184),160,120,pistol,22,2,157,95
armas (2185),160,120,pistol,2,1,158,114
armas (2186),160,120,pistol,5,3,156,115
armas (2187),160,120,pistol,2,1,159,108
armas (2188),160,120,pistol,4,1,154,114
armas (2189),160,120,pistol,1,1,156,114
armas (2190),160,120,pistol,1,3,157,116
armas (2191),160,120,pistol,3,1,157,117
armas (2192),160,120,pistol,2,1,156,116
armas (2193),160,120,pistol,7,1,152,118
armas (2194),160,120,pistol,2,2,157,117
armas (2195),160,120,pistol,3,1,156,114
armas (2196),160,120,pistol,3,3,154,115
armas (2197),160,120,pistol,3,1,152,111
armas (2198),160,120,pistol,2,1,155,110
armas (2199),160,120,pistol,1,1,157,118
armas (2200),160,120,pistol,2,3,158,116
armas (2201),160,120,pistol,2,1,157,108
armas (2202),160,120,pistol,4,3,158,114
armas (2203),160,120,pistol,4,6,154,110
armas (2204),160,120,pistol,14,11,151,109
armas (2205),160,120,pistol,2,1,154,114
armas (2206),160,120,pistol,2,1,157,112
armas (2207),160,120,pistol,3,3,158,106
armas (2208),160,120,pistol,2,1,157,116
armas (2209),160,120,pistol,3,5,156,116
armas (2210),160,120,pistol,5,2,156,110
armas (2211),160,120,pistol,2,3,156,112
armas (2212),160,120,pistol,2,1,158,115
armas (2213),160,120,pistol,4,4,156,117
armas (2214),160,120,pistol,2,1,157,117
armas (2215),160,120,pistol,3,4,159,115
armas (2216),160,120,pistol,2,2,159,111
armas (2217),160,120,pistol,4,3,158,112
armas (2218),160,120,pistol,1,2,157,119
armas (2219),160,120,pistol,1,2,157,116
armas (2220),160,120,pistol,2,1,156,117
armas (2221),160,120,pistol,3,3,157,117
armas (2222),160,120,pistol,6,1,158,117
armas (2223),160,120,pistol,2,1,158,116
armas (2224),160,120,pistol,3,1,159,116
armas (2225),160,120,pistol,26,3,130,113
armas (2226),160,120,pistol,9,13,155,112
armas (2227),160,120,pistol,10,19,148,115
armas (2228),160,120,pistol,4,1,159,118
armas (2229),160,120,pistol,4,4,157,116
armas (2230),160,120,pistol,5,2,159,114
armas (2231),160,120,pistol,2,4,157,114
armas (2232),160,120,pistol,5,6,155,116
armas (2233),160,120,pistol,4,3,157,112
armas (2234),160,120,pistol,4,3,156,115
armas (2235),160,120,pistol,4,2,157,113
armas (2236),160,120,pistol,1,12,155,106
armas (2237),160,120,pistol,3,3,156,118
armas (2238),160,120,pistol,2,3,157,115
armas (2239),160,120,pistol,2,1,157,112
armas (2240),160,120,pistol,2,1,157,113
armas (2241),160,120,pistol,4,2,156,113
armas (2242),160,120,pistol,4,8,157,111
armas (2243),160,120,pistol,4,1,158,105
armas (2244),160,120,pistol,1,3,158,104
armas (2245),160,120,pistol,2,5,155,110
armas (2246),160,120,pistol,1,2,158,112
armas (2247),160,120,pistol,3,1,155,116
armas (2248),160,120,pistol,2,1,157,111
armas (2249),160,120,pistol,4,1,157,120
armas (2250),160,120,pistol,1,2,158,120
armas (2251),160,120,pistol,7,1,157,113
armas (2252),160,120,pistol,2,3,155,112
armas (2253),160,120,pistol,2,3,154,116
armas (2254),160,120,pistol,2,2,156,118
armas (2255),160,120,pistol,3,1,158,115
armas (2256),160,120,pistol,1,3,157,117
armas (2257),160,120,pistol,1,1,157,113
armas (2258),160,120,pistol,4,1,157,116
armas (2259),160,120,pistol,1,3,158,112
armas (2260),160,120,pistol,4,2,157,116
armas (2261),160,120,pistol,4,3,157,114
armas (2262),160,120,pistol,3,2,158,117
armas (2263),160,120,pistol,5,7,157,115
armas (2264),160,120,pistol,3,7,157,112
armas (2265),160,120,pistol,11,5,153,114
armas (2266),160,120,pistol,7,5,157,115
armas (2267),160,120,pistol,2,2,157,120
armas (2268),160,120,pistol,2,2,157,119
armas (2269),160,120,pistol,4,4,158,115
armas (2270),160,120,pistol,3,4,157,116
armas (2271),160,120,pistol,4,1,158,116
armas (2272),160,120,pistol,2,1,157,117
armas (2273),160,120,pistol,5,1,158,118
armas (2274),160,120,pistol,1,1,158,120
armas (2275),160,120,pistol,4,3,157,118
armas (2276),160,120,pistol,5,1,155,115
armas (2277),160,120,pistol,1,4,157,118
armas (2278),160,120,pistol,6,3,157,116
armas (2279),160,120,pistol,5,1,155,117
armas (2280),160,120,pistol,2,1,158,119
armas (2281),160,120,pistol,1,1,157,112
armas (2282),160,120,pistol,1,3,157,116
armas (2283),160,120,pistol,3,1,157,118
armas (2284),160,120,pistol,4,2,155,118
armas (2285),160,120,pistol,14,7,145,106
armas (2286),160,120,pistol,2,4,158,115
armas (2287),160,120,pistol,3,4,157,116
armas (2288),160,120,pistol,2,3,156,115
armas (2289),160,120,pistol,1,1,157,117
armas (2290),160,120,pistol,1,1,152,116
armas (2291),160,120,pistol,7,3,155,115
armas (2292),160,120,pistol,5,4,152,113
armas (2293),160,120,pistol,7,2,157,116
armas (2294),160,120,pistol,2,1,157,119
armas (2295),160,120,pistol,7,4,154,113
armas (2296),160,120,pistol,4,1,157,118
armas (2297),160,120,pistol,6,1,154,115
armas (2298),160,120,pistol,4,5,152,113
armas (2299),160,120,pistol,2,28,149,106
armas (2300),160,120,pistol,4,11,77,97
armas (2300),160,120,pistol,86,12,155,102
armas (2301),160,120,pistol,1,18,157,104
armas (2302),160,120,pistol,3,7,155,112
armas (2303),160,120,pistol,3,3,155,116
armas (2304),160,120,pistol,8,1,154,108
armas (2305),160,120,pistol,5,1,157,114
armas (2306),160,120,pistol,2,3,159,118
armas (2307),160,120,pistol,4,1,153,119
armas (2308),160,120,pistol,7,1,154,119
armas (2309),160,120,pistol,5,2,157,116
armas (2310),160,120,pistol,2,2,156,116
armas (2311),160,120,pistol,3,3,158,118
armas (2312),160,120,pistol,7,1,156,119
armas (2313),160,120,pistol,2,6,155,118
armas (2314),160,120,pistol,2,6,154,112
armas (2315),160,120,pistol,5,1,150,116
armas (2316),160,120,pistol,3,3,155,116
armas (2317),160,120,pistol,1,4,157,118
armas (2318),160,120,pistol,2,2,155,120
armas (2319),160,120,pistol,5,4,155,116
armas (2320),160,120,pistol,1,1,158,118
armas (2321),160,120,pistol,4,1,157,117
armas (2322),160,120,pistol,3,1,156,118
armas (2323),160,120,pistol,11,9,142,115
armas (2324),160,120,pistol,2,3,153,114
armas (2325),160,120,pistol,5,1,154,113
armas (2326),160,120,pistol,3,4,154,114
armas (2327),160,120,pistol,4,1,155,116
armas (2328),160,120,pistol,5,1,157,116
armas (2329),160,120,pistol,3,2,157,116
armas (2330),160,120,pistol,2,2,154,116
armas (2331),160,120,pistol,1,1,157,116
armas (2332),160,120,pistol,4,1,151,116
armas (2333),160,120,pistol,2,2,156,119
armas (2334),160,120,pistol,1,1,157,119
armas (2335),160,120,pistol,6,3,155,115
armas (2336),160,120,pistol,3,1,157,116
armas (2337),160,120,pistol,1,1,158,119
armas (2338),160,120,pistol,5,3,155,113
armas (2339),160,120,pistol,3,1,155,116
armas (2340),160,120,pistol,8,5,154,115
armas (2341),160,120,pistol,8,7,152,109
armas (2342),160,120,pistol,2,1,157,118
armas (2343),160,120,pistol,1,1,157,119
armas (2344),160,120,pistol,5,3,153,112
armas (2345),160,120,pistol,1,1,157,120
armas (2346),160,120,pistol,2,2,158,114
armas (2347),160,120,pistol,2,1,155,117
armas (2348),160,120,pistol,5,7,157,115
armas (2349),160,120,pistol,13,10,149,113
armas (2350),160,120,pistol,1,1,159,115
armas (2351),160,120,pistol,4,2,155,110
armas (2352),160,120,pistol,8,20,154,107
armas (2353),160,120,pistol,2,3,157,116
armas (2354),160,120,pistol,8,1,154,115
armas (2355),160,120,pistol,7,4,156,117
armas (2356),160,120,pistol,11,29,150,120
armas (2357),160,120,pistol,5,3,155,103
armas (2358),160,120,pistol,2,9,154,103
armas (2359),160,120,pistol,2,1,156,119
armas (2360),160,120,pistol,3,5,157,118
armas (2361),160,120,pistol,10,1,157,113
armas (2362),160,120,pistol,2,1,157,117
armas (2363),160,120,pistol,11,35,143,107
armas (2364),160,120,pistol,17,18,141,107
armas (2365),160,120,pistol,2,3,155,88
armas (2366),160,120,pistol,5,3,155,72
armas (2367),160,120,pistol,1,3,158,115
armas (2368),160,120,pistol,5,1,159,115
armas (2369),160,120,pistol,3,2,157,115
armas (2370),160,120,pistol,2,1,154,108
armas (2371),160,120,pistol,4,5,154,106
armas (2372),160,120,pistol,8,5,154,103
armas (2373),160,120,pistol,4,5,158,116
armas (2374),160,120,pistol,24,27,155,113
armas (2375),160,120,pistol,4,1,157,111
armas (2376),160,120,pistol,7,3,155,97
armas (2377),160,120,pistol,2,1,156,103
armas (2378),160,120,pistol,2,1,155,113
armas (2379),160,120,pistol,2,1,159,115
armas (2380),160,120,pistol,4,15,158,112
armas (2381),160,120,pistol,3,3,154,118
armas (2382),160,120,pistol,8,3,149,110
armas (2383),160,120,pistol,5,1,154,119
armas (2384),160,120,pistol,3,1,159,116
armas (2385),160,120,pistol,2,1,157,102
armas (2386),160,120,pistol,4,1,157,113
armas (2387),160,120,pistol,3,1,155,116
armas (2388),160,120,pistol,4,1,155,113
armas (2389),160,120,pistol,1,2,155,118
armas (2390),160,120,pistol,4,1,157,114
armas (2391),160,120,pistol,7,18,150,112
armas (2392),160,120,pistol,5,21,155,111
armas (2393),160,120,pistol,3,3,156,115
armas (2394),160,120,pistol,7,1,155,119
armas (2395),160,120,pistol,3,3,157,116
armas (2396),160,120,pistol,4,2,155,118
armas (2397),160,120,pistol,3,3,154,113
armas (2398),160,120,pistol,1,1,154,116
armas (2399),160,120,pistol,1,1,157,117
armas (2400),160,120,pistol,2,3,158,118
armas (2401),160,120,pistol,10,9,155,112
armas (2402),160,120,pistol,6,5,158,115
armas (2403),160,120,pistol,23,19,152,101
armas (2404),160,120,pistol,1,4,156,115
armas (2405),160,120,pistol,4,3,158,112
armas (2406),160,120,pistol,11,4,151,112
armas (2407),160,120,pistol,3,1,158,119
armas (2408),160,120,pistol,3,2,158,114
armas (2409),160,120,pistol,2,1,157,120
armas (2410),160,120,pistol,3,1,155,118
armas (2411),160,120,pistol,1,2,158,114
armas (2412),160,120,pistol,4,5,151,116
armas (2413),160,120,pistol,3,3,157,119
armas (2414),160,120,pistol,4,3,158,112
armas (2415),160,120,pistol,2,2,156,115
armas (2416),160,120,pistol,13,4,143,79
armas (2417),160,120,pistol,2,2,157,115
armas (2418),160,120,pistol,2,1,153,118
armas (2419),160,120,pistol,8,4,152,111
armas (2420),160,120,pistol,4,7,155,116
armas (2421),160,120,pistol,17,4,145,112
armas (2422),160,120,pistol,2,3,156,116
armas (2423),160,120,pistol,5,1,154,118
armas (2424),160,120,pistol,5,2,157,118
armas (2425),160,120,pistol,4,3,153,119
armas (2426),160,120,pistol,4,3,156,116
armas (2427),160,120,pistol,33,4,130,114
armas (2428),160,120,pistol,5,7,151,107
armas (2429),160,120,pistol,2,1,157,119
armas (2430),160,120,pistol,2,1,155,118
armas (2431),160,120,pistol,2,1,158,116
armas (2432),160,120,pistol,1,1,158,117
armas (2433),160,120,pistol,3,1,158,117
armas (2434),160,120,pistol,8,7,154,116
armas (2435),160,120,pistol,6,3,155,117
armas (2436),160,120,pistol,4,4,155,113
armas (2437),160,120,pistol,4,1,154,117
armas (2438),160,120,pistol,7,1,152,112
armas (2439),160,120,pistol,11,9,143,102
armas (2440),160,120,pistol,4,6,154,110
armas (2441),160,120,pistol,2,1,157,115
armas (2442),160,120,pistol,1,1,155,115
armas (2443),160,120,pistol,4,1,78,115
armas (2443),160,120,pistol,80,3,152,115
armas (2444),160,120,pistol,1,8,159,78
armas (2445),160,120,pistol,4,1,157,117
armas (2446),160,120,pistol,3,3,158,116
armas (2447),160,120,pistol,2,3,158,116
armas (2448),160,120,pistol,2,5,156,113
armas (2449),160,120,pistol,1,8,155,115
armas (2450),160,120,pistol,5,2,155,112
armas (2451),160,120,pistol,1,3,157,116
armas (2452),160,120,pistol,8,5,155,116
armas (2453),160,120,pistol,3,2,157,117
armas (2454),160,120,pistol,12,3,157,114
armas (2455),160,120,pistol,1,2,157,115
armas (2456),160,120,pistol,8,8,142,113
armas (2457),160,120,pistol,1,3,159,116
armas (2458),160,120,pistol,2,1,157,115
armas (2459),160,120,pistol,1,1,159,110
armas (2460),160,120,pistol,1,4,157,110
armas (2461),160,120,pistol,10,12,148,110
armas (2462),160,120,pistol,2,3,156,116
armas (2463),160,120,pistol,1,1,155,118
armas (2464),160,120,pistol,3,3,157,116
armas (2465),160,120,pistol,24,38,151,111
armas (2466),160,120,pistol,33,29,144,101
armas (2467),160,120,pistol,1,1,157,119
armas (2468),160,120,pistol,23,1,155,95
armas (2469),160,120,pistol,4,3,154,113
armas (2470),160,120,pistol,2,1,157,116
armas (2471),160,120,pistol,11,3,150,109
armas (2472),160,120,pistol,7,9,157,113
armas (2473),160,120,pistol,2,1,155,117
armas (2474),160,120,pistol,5,6,152,112
armas (2475),160,120,pistol,4,3,158,112
armas (2476),160,120,pistol,1,1,157,119
armas (2477),160,120,pistol,5,4,151,111
armas (2478),160,120,pistol,5,3,156,112
armas (2479),160,120,pistol,2,1,156,118
armas (2480),160,120,pistol,2,3,158,119
armas (2481),160,120,pistol,3,3,157,116
armas (2482),160,120,pistol,14,1,143,115
armas (2483),160,120,pistol,3,3,156,117
armas (2484),160,120,pistol,2,1,158,115
armas (2485),160,120,pistol,2,4,158,118
armas (2486),160,120,pistol,1,1,157,113
armas (2487),160,120,pistol,2,3,157,116
armas (2488),160,120,pistol,4,3,157,115
armas (2489),160,120,pistol,1,1,157,116
armas (2490),160,120,pistol,1,1,158,115
armas (2491),160,120,pistol,3,1,158,117
armas (2492),160,120,pistol,2,1,157,118
armas (2493),160,120,pistol,4,4,154,116
armas (2494),160,120,pistol,4,6,157,113
armas (2495),160,120,pistol,4,4,154,116
armas (2496),160,120,pistol,2,3,158,114
armas (2497),160,120,pistol,2,1,157,117
armas (2498),160,120,pistol,3,3,157,112
armas (2499),160,120,pistol,2,1,155,117
armas (2500),160,120,pistol,4,2,158,116
armas (2501),160,120,pistol,1,2,156,115
armas (2502),160,120,pistol,1,3,157,115
armas (2503),160,120,pistol,3,1,155,118
armas (2504),160,120,pistol,3,2,156,115
armas (2505),160,120,pistol,2,1,157,116
armas (2506),160,120,pistol,4,1,155,112
armas (2507),160,120,pistol,2,3,158,113
armas (2508),160,120,pistol,6,3,157,113
armas (2509),160,120,pistol,1,1,159,117
armas (2510),160,120,pistol,3,2,154,113
armas (2511),160,120,pistol,1,1,155,113
armas (2512),160,120,pistol,6,1,157,113
armas (2513),160,120,pistol,4,1,158,116
armas (2514),160,120,pistol,4,1,158,115
armas (2515),160,120,pistol,3,3,158,118
armas (2516),160,120,pistol,2,1,157,117
armas (2517),160,120,pistol,1,1,155,116
armas (2518),160,120,pistol,2,7,158,112
armas (2519),160,120,pistol,2,1,155,117
armas (2520),160,120,pistol,3,4,155,113
armas (2521),160,120,pistol,2,1,156,115
armas (2522),160,120,pistol,5,1,155,118
armas (2523),160,120,pistol,1,4,155,115
armas (2524),160,120,pistol,7,1,148,110
armas (2525),160,120,pistol,16,33,154,112
armas (2526),160,120,pistol,1,1,158,115
armas (2527),160,120,pistol,1,1,158,115
armas (2528),160,120,pistol,5,6,157,112
armas (2529),160,120,pistol,2,12,157,105
armas (2530),160,120,pistol,3,1,155,115
armas (2531),160,120,pistol,9,12,148,109
armas (2532),160,120,pistol,2,1,158,113
armas (2533),160,120,pistol,14,19,76,108
armas (2533),160,120,pistol,93,21,143,109
armas (2534),160,120,pistol,1,5,158,114
armas (2535),160,120,pistol,4,1,154,113
armas (2536),160,120,pistol,3,3,157,113
armas (2537),160,120,pistol,2,1,155,110
armas (2538),160,120,pistol,5,1,157,118
armas (2539),160,120,pistol,1,1,157,116
armas (2540),160,120,pistol,3,3,156,116
armas (2541),160,120,pistol,7,3,158,114
armas (2542),160,120,pistol,2,3,158,115
armas (2543),160,120,pistol,7,2,155,115
armas (2544),160,120,pistol,3,2,156,116
armas (2545),160,120,pistol,2,1,157,117
armas (2546),160,120,pistol,3,2,152,116
armas (2547),160,120,pistol,1,1,158,113
armas (2548),160,120,pistol,4,4,155,114
armas (2549),160,120,pistol,10,3,158,115
armas (2550),160,120,pistol,5,1,155,115
armas (2551),160,120,pistol,3,1,158,113
armas (2552),160,120,pistol,6,1,157,113
armas (2553),160,120,pistol,2,4,154,116
armas (2554),160,120,pistol,5,3,156,119
armas (2555),160,120,pistol,5,4,152,109
armas (2556),160,120,pistol,4,1,158,119
armas (2557),160,120,pistol,4,1,157,117
armas (2558),160,120,pistol,4,2,156,118
armas (2559),160,120,pistol,1,3,157,117
armas (2560),160,120,pistol,3,2,156,115
armas (2561),160,120,pistol,2,3,156,120
armas (2562),160,120,pistol,4,2,151,118
armas (2563),160,120,pistol,7,1,155,118
armas (2564),160,120,pistol,2,3,155,118
armas (2565),160,120,pistol,13,28,154,90
armas (2566),160,120,pistol,4,3,157,116
armas (2567),160,120,pistol,2,2,158,116
armas (2568),160,120,pistol,2,5,151,119
armas (2569),160,120,pistol,4,3,155,115
armas (2570),160,120,pistol,2,2,154,119
armas (2571),160,120,pistol,4,1,155,117
armas (2572),160,120,pistol,5,1,154,119
armas (2573),160,120,pistol,4,4,157,114
armas (2574),160,120,pistol,6,1,155,119
armas (2575),160,120,pistol,1,4,158,115
armas (2576),160,120,pistol,2,1,158,114
armas (2577),160,120,pistol,5,1,155,116
armas (2578),160,120,pistol,3,3,158,118
armas (2579),160,120,pistol,7,1,153,112
armas (2580),160,120,pistol,3,1,157,114
armas (2581),160,120,pistol,2,5,157,116
armas (2582),160,120,pistol,4,3,151,119
armas (2583),160,120,pistol,1,1,156,115
armas (2584),160,120,pistol,2,1,156,118
armas (2585),160,120,pistol,5,1,157,116
armas (2586),160,120,pistol,4,1,158,118
armas (2587),160,120,pistol,1,1,158,119
armas (2588),160,120,pistol,8,1,153,117
armas (2589),160,120,pistol,21,3,139,108
armas (2590),160,120,pistol,5,3,155,115
armas (2591),160,120,pistol,1,5,158,114
armas (2592),160,120,pistol,2,1,155,113
armas (2593),160,120,pistol,8,1,154,118
armas (2594),160,120,pistol,4,1,156,119
armas (2595),160,120,pistol,4,1,156,120
armas (2596),160,120,pistol,2,6,155,116
armas (2597),160,120,pistol,3,1,156,118
armas (2598),160,120,pistol,2,12,157,107
armas (2599),160,120,pistol,2,13,157,88
armas (2600),160,120,pistol,2,1,154,116
armas (2601),160,120,pistol,1,1,156,116
armas (2602),160,120,pistol,1,1,157,118
armas (2603),160,120,pistol,1,2,158,116
armas (2604),160,120,pistol,4,2,154,118
armas (2605),160,120,pistol,2,2,157,113
armas (2606),160,120,pistol,4,2,156,116
armas (2607),160,120,pistol,3,2,154,116
armas (2608),160,120,pistol,1,1,157,107
armas (2609),160,120,pistol,6,3,148,110
armas (2610),160,120,pistol,5,2,158,112
armas (2611),160,120,pistol,1,2,152,113
armas (2612),160,120,pistol,10,4,156,113
armas (2613),160,120,pistol,3,1,155,116
armas (2614),160,120,pistol,4,3,156,113
armas (2615),160,120,pistol,1,4,154,116
armas (2616),160,120,pistol,1,3,156,115
armas (2617),160,120,pistol,6,4,155,115
armas (2618),160,120,pistol,4,1,156,115
armas (2619),160,120,pistol,1,2,158,116
armas (2620),160,120,pistol,2,1,157,115
armas (2621),160,120,pistol,3,1,156,118
armas (2622),160,120,pistol,8,4,157,117
armas (2623),160,120,pistol,1,1,156,114
armas (2624),160,120,pistol,7,1,151,113
armas (2625),160,120,pistol,1,1,157,115
armas (2626),160,120,pistol,4,2,154,116
armas (2627),160,120,pistol,1,1,155,115
armas (2628),160,120,pistol,5,6,146,114
armas (2629),160,120,pistol,4,3,157,118
armas (2630),160,120,pistol,2,2,157,117
armas (2631),160,120,pistol,5,1,158,115
armas (2632),160,120,pistol,3,5,142,112
armas (2633),160,120,pistol,8,5,155,115
armas (2634),160,120,pistol,16,6,156,116
armas (2635),160,120,pistol,7,6,152,116
armas (2636),160,120,pistol,2,1,149,77
armas (2637),160,120,pistol,2,2,156,117
armas (2638),160,120,pistol,3,1,155,118
armas (2639),160,120,pistol,2,1,157,118
armas (2640),160,120,pistol,2,5,155,119
